,company_name,company_type,company_loc,company_size,job_name,job_salary,edu_level,emp_type,company_score,No
267,广州中软职业技能培训有限公司西安分公司,上市公司,西安,10000人以上,算法开发方向实习生/初级工程师,4K-6K,大专,全职,316.0,268.0
268,北京云知声信息技术有限公司,合资,北京-朝阳区,100-499人,大数据高级开发工程师(J10268),20K-40K,本科,全职,316.0,269.0
269,深圳凹客信息科技有限公司,民营,深圳-宝安区,100-499人,产品开发专员,6K-10K,本科,全职,316.0,270.0
270,武汉世纪盛邦管理咨询合伙企业(有限合伙),民营,武汉,100-499人,大数据开发工程师[武汉],10K-15K,不限,全职,316.0,271.0
271,广州棒谷科技股份有限公司,民营,深圳,1000-9999人,产品开发专员,4K-8K,大专,全职,316.0,272.0
272,南京达内为上信息技术有限公司,上市公司,南京,1000-9999人,大数据开发工程师,4K-6K,大专,全职,316.0,273.0
273,深圳市源极光科技有限公司,民营,杭州,20-99人,python开发工程师（杭州）,8K-15K,本科,全职,316.0,274.0
274,圣奥集团有限公司,合资,杭州,1000-9999人,BI工程师/数据分析工程师,8.5K-15K,大专,全职,316.0,275.0
275,圣奥集团有限公司,合资,杭州-江干区,1000-9999人,数据分析工程师,7K-12K,不限,全职,316.0,276.0
276,深圳市源极光科技有限公司,民营,深圳-宝安区,20-99人,大数据开发工程师,10K-18K,本科,全职,315.796,277.0
277,北京易诚高科科技发展有限公司,民营,北京-朝阳区,100-499人,java及python开发,15K-20K,本科,全职,315.704,278.0
278,深圳市芒柠科技有限公司,民营,北京,20-99人,大数据开发工程师（北京）,10K-20K,大专,全职,315.564,279.0
279,上海怡科信息科技有限公司,民营,杭州,500-999人,大数据工程师,6K-8K,大专,全职,315.452,280.0
280,上海集钢电子商务有限公司,民营,上海,100-499人,大数据工程师,6K-8K,大专,全职,315.256,281.0
281,江西银行股份有限公司,上市公司,南昌,1000-9999人,大数据分析人员,薪资面议,硕士,全职,315.04,282.0
282,上海易鑫融资租赁有限公司,上市公司,上海,1000-9999人,高级风控模型分析师(J13868),15K-20K,本科,全职,314.668,283.0
283,北京公瑾科技有限公司,民营,北京-海淀区,1000-9999人,BI数据产品经理,20K-30K,本科,全职,314.436,284.0
284,华为技术有限公司,民营,东莞,10000人以上,生产计划部大数据分析与应用专家,薪资面议,本科,全职,314.0,285.0
285,中软国际科技服务有限公司,上市公司,青岛,10000人以上,大数据开发工程师,薪资面议,大专,全职,314.0,286.0
286,宁德时代新能源科技股份有限公司,民营,宁德,10000人以上,BI开发工程师,8K-16K,本科,全职,314.0,287.0
287,深圳市长亮科技股份有限公司,上市公司,郑州,1000-9999人,数据库开发工程师（郑州）,7K-14K,本科,全职,313.964,288.0
288,厦门真有趣信息科技有限公司,民营,厦门,100-499人,web开发工程师,8K-15K,大专,全职,313.92,289.0
289,杭州挪蒙广告设计有限公司,民营,杭州,20-99人,大数据分析师助理,6K-8K,中专,全职,313.44,290.0
290,富士康科技集团郑州科技园,上市公司,郑州-航空港区,10000人以上,AI演算法开发工程师,12K-24K,本科,全职,313.4,291.0
291,贝壳找房,民营,北京,1000-9999人,数据智能部-大数据开发工程师-BI建设,30K-50K,本科,全职,313.14,292.0
292,深圳银兴科技开发有限公司,民营,深圳-南山区,20-99人,bi工程师,18K-27K,大专,全职,313.06717,293.0
293,重庆长安汽车股份有限公司,上市公司,重庆,10000人以上,新能源科技公司-新能源整车系统开发J10144,薪资面议,本科,全职,312.62,294.0
294,中科软科技股份有限公司,股份制企业,天津,1000-9999人,中高级大数据分析工程师,10K-20K,本科,全职,312.0,295.0
295,南京君合创胜数据科技有限责任公司,民营,南京,100-499人,数据库开发工程师,10K-18K,本科,全职,312.0,296.0
296,北京开科唯识技术有限公司深圳分公司,民营,深圳-南山区,500-999人,大数据开发工程师,15K-30K,本科,全职,312.0,297.0
297,远光软件股份有限公司,上市公司,珠海,1000-9999人,java开发工程师,8K-10K,大专,全职,312.0,298.0
298,联通大数据有限公司,国企,北京,100-499人,数据挖掘工程师,薪资面议,本科,全职,312.0,299.0
299,南京君合创胜数据科技有限责任公司,民营,郑州,100-499人,数据开发工程师（政企）,8K-14K,本科,全职,311.76,300.0
300,麒麟远创软件（中国）有限公司南京分公司,外商独资,南京,20-99人,前端工程师,10K-15K,本科,校园,311.7572,301.0
301,厦门银行股份有限公司,股份制企业,厦门-思明区,1000-9999人,总行新兴金融部—数据分析岗,10K-16K,本科,全职,311.04,302.0
302,上海华钦信息科技股份有限公司,合资,上海,1000-9999人,WEB前端开发工程师（大型国企）,10K-15K,大专,全职,311.012,303.0
303,百度在线网络技术(北京)有限公司上海软件技术分公司,上市公司,广州,1000-9999人,数据分析师,7.5K-15K,本科,全职,310.964,304.0
304,加州格林咨询(北京)有限公司,民营,北京,100-499人,大数据开发工程师,30K-50K,本科,全职,310.476,305.0
305,深圳市华纵工业技术有限公司,民营,深圳,20-99人,外贸采购专员/亚马逊产品开发/电商采购开发,6K-8K,大专,全职,309.952,306.0
306,北京东方国信科技股份有限公司,上市公司,北京,1000-9999人,Java开发工程师（GYHLW1zt）,7K-14K,本科,全职,309.844,307.0
307,北京东方国信科技股份有限公司,上市公司,北京,1000-9999人,Linux/UnixC/C++软件开发（FBS1yjy）,15K-20K,本科,全职,309.752,308.0
